Customer Number,Service Level, Campaign Period Sales , Date of Last Transaction ,Date of First Purchase,Number of Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language
1801753,Standard, $ 179.79 ,3/4/2015,3/1/1961,10,TRUE,TRUE,TRUE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,Y,Y,6-10,English
18149702,Standard, $ 342.51 ,12/24/2011,10/1/1975,16,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
783918,Premier," $ 1,357.63 ",5/10/2016,4/2/2010,7,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,N, ,
52473029,Standard," $ 1,396.00 ",7/27/2015,8/15/1983,11,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
3911433,Premier," $ 1,674.00 ",12/11/2014,5/15/1986,3,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,Y,N,N,N,N,N,N,N,N, ,
163780368,Premier," $ 2,170.78 ",12/15/2014,11/1/1955,1,FALSE,FALSE,TRUE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,N, ,
12223092,Premier, $ 96.34 ,10/22/2016,4/15/1966,20,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,Y,Y,6-10,English
4055510,Premier, $ 244.59 ,11/25/2013,4/15/1986,18,FALSE,FALSE,FALSE,NOTICE,WEB,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
17288306,Premier," $ 3,796.00 ",3/10/2010,5/1/1956,9,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
53232210,Premier," $ 2,082.60 ",2/8/2015,12/1/1972,6,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,FALSE,N,N,N,N,N,N,Y,N,N, ,
17401950,Premier, $ 233.79 ,2/10/2014,8/26/2003,3,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
19480755,Premier, $ 281.84 ,10/1/2014,9/1/1975,21,FALSE,TRUE,FALSE,NOTICE,WEB,TRUE,N,N,N,N,N,N,N,N,Y,11-50,English
9188064,Premier, $ 119.76 ,5/5/2015,2/1/1969,18,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
6172509,Standard, $ 224.03 ,7/24/2015,2/1/1977,4,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,11-50,English
14686353,Premier, $ 382.11 ,12/28/2007,5/15/1968,23,FALSE,TRUE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,1-5,English
11235638,Premier, $ 337.58 ,8/19/2012,9/1/1975,17,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,Y,N,N,N,N,N,N,Y,1-5,English
16586882,Premier, $ 98.20 ,12/12/2015,8/7/2012,19,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,1-5,English
583531,Standard, $ 188.11 ,1/3/2015,8/15/1975,20,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
11924098,Standard, $ 395.95 ,2/24/2013,6/1/1974,13,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,Y,Y,11-50,English
24621789,Standard, $ 388.61 ,10/22/2007,12/1/1972,12,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,Y,N,N,N,N,N,Y,N,Y,1-5,English
24098289,Standard, $ 123.24 ,3/31/2015,10/1/1975,18,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
20556955,Standard," $ 1,988.13 ",4/9/2015,5/28/2003,4,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,FALSE,N,N,N,N,N,N,N,N,N, ,
21313504,Standard, $ 506.32 ,10/6/2008,8/1/1956,19,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
27558216,Standard," $ 2,797.17 ",6/5/2012,10/1/1972,5,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
7852465,Standard, $ 145.67 ,8/13/2014,5/4/2012,15,FALSE,TRUE,FALSE,NOTICE,WEB,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
5580010,Premier, $ 638.83 ,7/15/2011,10/1/1975,17,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,51-100,English
20151045,Premier, $ 134.81 ,12/2/2014,6/1/1974,12,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,Y,N,N,N,N,N,Y,N,Y,1-5,
9062322,Premier," $ 2,185.67 ",10/18/2013,2/1/2005,38,FALSE,FALSE,FALSE,NOTICE,BRANCH (PHONE),FALSE,N,N,N,N,N,N,N,N,N, ,
25289110,Standard, $ 101.92 ,11/4/2015,6/1/1974,20,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,Y,N,Y,1-5,English
12124540,Standard, $ 155.24 ,5/9/2015,12/15/1972,20,FALSE,TRUE,FALSE,AUTO RENEW,MAIL,TRUE,N,N,N,N,N,N,N,Y,Y,1-5,English
2584337,Premier, $ 389.01 ,1/25/2011,7/15/1956,22,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
4125165,Premier, $ 218.69 ,5/29/2014,10/1/1975,17,FALSE,FALSE,FALSE,NOTICE,WEB,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
2371473,Premier, $ 196.17 ,11/7/2014,10/1/1975,25,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
515003,Premier, $ 180.91 ,2/24/2015,12/15/1972,15,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
16686760,Standard," $ 1,800.67 ",8/30/2014,2/15/1967,4,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
11973337,Premier, $ 271.41 ,5/17/2013,9/1/1975,4,TRUE,TRUE,TRUE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
9125944,Premier, $ 386.57 ,2/11/2011,9/15/1975,7,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
16267586,Premier, $ 168.59 ,5/23/2015,11/1/1992,15,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
32075619,Premier, $ 182.17 ,9/21/2015,7/13/2005,16,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,Y,N,N,N,N,Y,N,Y,6-10,English
8108086,Premier, $ 153.71 ,5/23/2014,4/15/1982,15,FALSE,FALSE,FALSE,NOTICE,WEB,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
32064954,Premier, $ 275.31 ,10/5/2012,8/1/1952,16,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
3842861,Premier, $ 160.90 ,2/3/2015,11/1/1975,11,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,N,1-5,English
11930228,Standard," $ 2,032.67 ",2/21/2014,12/15/1986,7,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,N, ,
1472406,Premier," $ 2,107.08 ",1/24/2015,7/15/1956,1,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,N, ,
1700023,Standard, $ 183.70 ,2/4/2015,7/1/1966,14,FALSE,FALSE,FALSE,NOTICE,WEB,TRUE,N,N,N,N,N,N,N,N,Y,6-10,Hebrew
25619561,Premier, $ 195.62 ,11/11/2014,10/15/1975,13,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
25691701,Premier, $ 131.41 ,1/6/2015,7/15/1986,21,TRUE,FALSE,FALSE,NOTICE,PHONE,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
234724,Premier, $ 141.71 ,5/23/2015,2/15/1975,30,FALSE,TRUE,FALSE,NOTICE,BRANCH (POS),FALSE,N,Y,N,N,N,N,N,N,Y,6-10,English
25000251,Premier, $ 252.48 ,10/2/2015,8/15/1961,18,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,Y,N,N,Y,N,N,N,Y,11-50,English
18434525,Premier, $ 360.59 ,8/24/2013,10/1/1975,22,FALSE,TRUE,FALSE,NOTICE,WEB,TRUE,N,N,N,N,N,N,N,N,Y,11-50,English
20084333,Standard, $ 253.47 ,3/26/2013,11/1/1967,16,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,Y,Y,1-5,English
30815303,Premier, $ 147.11 ,7/12/2015,12/15/1972,13,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,FALSE,N,N,N,N,N,N,N,N,Y,1-5,English
26636462,Standard, $ 137.72 ,11/3/2014,9/15/1975,20,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,Y,N,Y,1-5,
6906657,Standard, $ 72.83 ,8/28/2016,1/1/1972,22,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,1-5,English
86734,Premier, $ 238.70 ,2/5/2015,10/1/1968,15,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,Y,N,Y,6-10,English
14125966,Standard, $ 583.81 ,6/15/2013,8/1/1961,13,FALSE,TRUE,FALSE,AUTO RENEW,BRANCH (PHONE),TRUE,N,Y,N,N,N,N,N,N,Y,11-50,English
25096357,Premier," $ 2,134.60 ",9/17/2014,10/15/1975,1,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,Y,N,N,N,N,N,N,N, ,
4506401,Standard," $ 1,127.26 ",8/6/2010,11/1/1975,15,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,Y,N,N,N,N,N,N,Y,51-100,English
28146018,Standard, $ 193.71 ,4/8/2013,11/1/1976,11,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,Y,N,Y,1-5,English
9741963,Standard, $ 437.12 ,2/7/2012,9/19/2006,19,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,FALSE,N,N,N,N,N,N,Y,N,Y,6-10,English
488200,Standard, $ 621.80 ,3/19/2015,7/1/1974,24,FALSE,TRUE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,101-500,English
9507019,Standard, $ 96.81 ,12/26/2015,11/1/1975,16,FALSE,FALSE,FALSE,NOTICE,,TRUE,N,N,Y,N,N,N,Y,N,Y,1-5,English
10179474,Premier, $ 267.28 ,6/15/2013,7/1/1966,21,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,Y,Y,6-10,English
52835706,Premier, $ 403.33 ,10/17/2017,1/1/1972,6,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,N, ,
18257380,Standard, $ 284.40 ,2/7/2017,4/15/1969,11,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,101-500,English
28987068,Premier, $ 141.44 ,9/26/2014,11/1/1956,8,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
8337139,Standard, $ 332.02 ,11/2/2015,8/15/1961,20,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,Y,51-100,English
762947,Premier, $ 224.70 ,4/16/2014,11/1/1975,21,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,Y,Y,6-10,English
20902790,Premier," $ 1,281.77 ",11/18/2004,4/15/1969,23,TRUE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,Y,11-50,
9756243,Premier, $ 269.64 ,11/19/2012,7/1/1966,3,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
53173109,Standard," $ 2,049.00 ",2/7/2014,3/24/2001,1,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,Y,N,N, ,
525537,Premier," $ 2,099.50 ",9/6/2015,11/1/1975,6,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,Y,N,N,N,N,N,N,N, ,
26061190,Standard, $ 152.21 ,5/26/2016,2/1/1972,25,FALSE,TRUE,FALSE,AUTO RENEW,WEB,TRUE,N,N,N,N,N,N,N,Y,Y,6-10,English
28016896,Premier, $ 253.66 ,11/14/2014,5/1/1978,15,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
4250293,Premier," $ 1,256.67 ",11/18/2015,12/15/1963,2,TRUE,TRUE,TRUE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
28487901,Premier, $ 492.13 ,12/13/2012,7/1/1974,18,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,Y,N,N,N,N,N,N,Y,11-50,English
22011081,Premier," $ 3,450.20 ",9/27/2013,10/15/1956,7,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,FALSE,N,Y,N,N,N,N,N,N,N, ,
5434017,Standard, $ 153.33 ,9/10/2015,1/1/1975,23,TRUE,TRUE,TRUE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
7945064,Premier, $ 147.05 ,10/25/2015,3/1/1969,23,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
3808104,Standard," $ 4,262.18 ",7/28/2012,12/25/1972,4,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,FALSE,N,Y,N,N,N,N,N,N,N, ,
33240035,Premier, $ 170.93 ,5/7/2015,9/1/1975,13,TRUE,TRUE,TRUE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
27494326,Premier, $ 206.70 ,4/27/2015,6/15/1974,20,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,Y,N,N,N,N,N,N,Y,6-10,English
1946854,Premier, $ 256.34 ,9/1/2013,11/1/1975,17,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
3145580,Standard, $ 151.09 ,6/19/2014,1/15/1962,16,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
7319116,Standard, $ 120.04 ,5/5/2016,1/15/1997,15,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
18052281,Premier, $ 557.87 ,2/18/2017,12/15/1972,4,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y, ,
31556847,Premier, $ 211.59 ,2/19/2014,9/1/1965,18,TRUE,TRUE,TRUE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
27463388,Standard, $ 148.37 ,7/2/2015,7/1/1966,12,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
23369139,Premier," $ 2,157.17 ",11/11/2013,1/1/1972,2,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
21515073,Premier, $ 125.64 ,3/6/2015,5/15/1982,16,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,1-5,English
19980756,Standard, $ 232.23 ,2/21/2014,4/15/1969,17,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
52480160,Premier," $ 1,204.33 ",12/31/2015,6/15/1974,4,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
10396526,Standard," $ 1,303.07 ",5/24/2011,1/1/1972,19,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,101-500,English
4910178,Standard, $ 232.80 ,2/2/2016,5/1/1971,19,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,51-100,English
28251113,Premier," $ 1,842.10 ",7/10/2015,12/6/2014,1,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,N, ,
2784740,Premier, $ 294.19 ,12/4/2012,9/1/1955,23,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
16659004,Standard, $ 133.60 ,1/29/2016,6/15/1971,11,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
7580375,Premier, $ 192.04 ,12/6/2014,8/24/1999,13,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
14668647,Standard, $ 639.07 ,11/27/2016,10/15/1975,1,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y, ,
3525202,Premier, $ 97.05 ,12/24/2015,2/1/1957,15,TRUE,TRUE,TRUE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,1-5,English
33281985,Premier," $ 4,235.62 ",5/24/2011,1/1/1956,1,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,N, ,
21958828,Premier, $ 455.60 ,10/5/2009,4/1/1973,11,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
19679178,Premier, $ 403.77 ,8/9/2012,2/16/2014,12,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,Y,N,N,N,N,N,Y,N,Y,6-10,English
41995706,Premier," $ 1,161.50 ",2/4/2016,1/1/1995,1,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
3917565,Standard," $ 1,773.33 ",9/21/2014,12/25/1972,8,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
